symbol,example,note
!,n!
\!,a\!b
\Large,\Large Large
\LARGE,\LARGE LARGE
\LaTeX,
\lbrace,
\lbrack,
\lceil,
\ldotp,
\ldots,
\le,
\leadsto,
\left,\left\lbrace \dfrac ab \right.
\leftarrow,
\Leftarrow,
\LeftArrow,,"Non standard"
\leftarrowtail,
\leftharpoondown,
\leftharpoonup,
\leftleftarrows,
\Leftrightarrow,
\leftrightarrow,
\leftrightarrows,
\leftrightharpoons,
\leftrightsquigarrow,
\leftroot,
\leftthreetimes,
\leq,
\leqalignno,
\leqq,
\leqslant,
\lessapprox,
\lessdot,
\lesseqgtr,
\lesseqqgtr,
\lessgtr,
\lesssim,
\let,,"<a href='https://github.com/Khan/KaTeX/issues/1413' target='_blank'>Issue #1413</a>"
\lfloor,
\lg,
\lgroup,
\lhd,
\lim,
\liminf,
\limits,\lim\limits_x
\limsup,
\ll,
\llap,"{=}\llap{/\,}"
\llcorner,
\Lleftarrow,
\lll,
\llless,
\lmoustache,
\ln,
\lnapprox,
\lneq,
\lneqq,
\lnot,
\lnsim,
\log,
\Longleftarrow,
\longleftarrow,
\Longleftrightarrow,
\longleftrightarrow,
\longmapsto,
\Longrightarrow,
\longrightarrow,
\looparrowleft,
\looparrowright,
\lor,
\lower,
\lozenge,
\Lrarr,
\lrArr,
\lrarr,
\lrcorner,
\lq,
\Lsh,
\lt,
\ltimes,
\lVert,
\lvert,
\lvertneqq,
\maltese,
\mapsto,
\mathbb,"\mathbb{AB}
KaTeX supports A-Z k"
\mathbf,\mathbf{AaBb123}
\mathbin,a\mathbin{!}b
\mathcal,\mathcal{AaBb123}
\mathchoice,"a\mathchoice{\,}{\,\,}{\,\,\,}{\,\,\,\,}b"
\mathclap,\sum_{\mathclap{1\le i\le n}} x_{i}
\mathclose,a + (b\mathclose\gt + c
\mathellipsis,
\mathfrak,"\mathfrak{AaBb}
KaTeX supports A-Za-z"
\mathinner,ab\mathinner{\text{inside}}cd
\mathit,"\mathit{AaBb}
KaTeX supports A-Za-z"
\mathllap,"{=}\mathllap{/\,}"
\mathop,\mathop{\star}_a^b
\mathopen,a + \mathopen\lt b) + c
\mathord,"1\mathord{,}234{,}567"
\mathpunct,A\mathpunct{-}B
\mathrel,a \mathrel{\#} b
\mathrlap,"\mathrlap{\,/}{=}"
\mathring,\mathring{a}
\mathrm,\mathrm{AaBb123}
